id,classic_jungian,classic_jungian_total_voted
197873,EN(F),1
248659,EN(T),2
162854,IT(N),1
216989,EN(T),2
184452,IT(N),1
359447,IN(F),1
343946,IF(N),1
502317,IN(T),1
190555,EN(T),1
398492,IN(T),1
289889,IT(S),1
602307,IS(F),1
670013,IN(F),1
443,ET(N),56
444,ET(N),72
446,IN(T),49
1524,EN(T),7
22144,EN(F),4
1013,IT(N),3
70509,IT(S),3
1014,ET(N),2
24200,IN(T),3
1012,IT(N),2
441235,EN(T),3
5313,IT(N),3
1525,ET(N),1
25279,IN(F),1
136915,IT(N),3
62679,IT(N),1
8805,ES(T),2
16057,EN(T),1
49237,IT(N),1
74756,EN(T),1
16078,EN(F),2
41785,ET(N),3
194755,IN(T),1
32515,EN(T),2
5622,IT(N),7
49215,EN(T),1
158111,IN(T),2
45428,IT(S),8
43623,ET(S),1
458974,IN(T),1
568871,EN(T),9
343994,EF(N),1
629695,ES(T),1
537,IF(N),59
24987,IN(F),87
567,IN(T),20
8911,IS(T),98
3265,IN(F),41
682,IN(T),14
3852,IN(T),31
9034,IN(F),27
9129,ET(N),22
8727,IT(N),7
6309,ES(T),13
53802,IN(T),27
29449,EN(F),4
3263,IF(N),7
1515,IT(N),7
27193,IF(S),7
3264,IN(F),4
2288,EF(S),7
2910,IN(T),9
103932,EN(F),3
24281,IS(F),1
16793,IN(T),11
33024,IN(F),20
20422,IN(T),17
3270,EN(F),3
9712,IN(T),12
26327,IN(F),3
63763,EN(T),2
40116,IN(T),5
142708,IF(N),9
73743,EN(F),2
3271,IN(F),3
11628,EN(F),2
11588,IN(T),10
977,EN(F),1
9219,IF(N),1
8728,EN(F),3
11762,EN(F),4
27629,IN(T),5
11590,EN(F),2
5612,IN(T),4
134630,EF(N),2
22145,EF(S),1
11179,EN(F),5
15609,IF(N),4
55604,IS(T),3
19619,ET(N),4
43893,IN(F),1
51071,EN(T),5
15156,IF(N),1
104394,ES(F),3
3383,EN(T),1
147125,IT(N),7
11625,IN(F),2
71460,IN(T),1
12206,EF(N),2
87308,IN(F),2
11299,IN(F),6
11593,IF(N),1
60894,IN(T),2
163751,IF(N),1
239238,IN(T),7
66226,IF(N),1
28210,IT(N),6
52812,EN(F),2
55601,IF(N),2
3741,EF(N),4
26335,ET(N),6
114106,ET(S),1
50182,EN(T),1
7268,ES(F),1
43788,ET(N),4
118711,IF(N),1
39992,EN(T),4
6395,IN(T),5
55081,IN(F),1
170715,IF(N),1
257470,EF(N),1
11627,IN(T),1
6243,IS(T),4
41020,EF(N),4
82290,EN(T),1
26325,IS(F),2
34870,EN(F),2
15082,IN(F),1
48223,IN(F),2
34945,IT(S),1
166640,IN(F),1
41210,IF(N),3
56244,IN(F),3
86778,IF(S),1
32659,EF(N),2
6322,IT(N),1
25085,IN(F),2
38612,IT(N),1
43607,EN(T),1
178863,IT(N),1
680,IN(T),2
30720,IF(N),1
34010,IN(F),2
137984,IF(S),2
225083,IS(T),2
49557,EF(N),1
55600,IF(N),1
134002,EF(N),3
172992,IN(F),1
11591,EN(F),1
113191,IN(T),1
178884,IN(F),1
42726,IN(T),1
60158,IN(F),1
74150,IF(N),1
35960,ET(N),3
77491,EN(T),1
52406,EF(N),1
22408,EN(F),2
52808,IT(S),6
66149,IN(F),3
71841,IN(T),1
86354,IN(T),1
109399,EN(F),1
35964,EN(F),1
50490,IT(N),2
94940,IN(T),1
50181,EN(T),1
59571,IT(N),1
76771,IT(N),1
133521,IS(F),4
143983,ET(N),1
48210,EN(T),1
63706,IF(N),1
276785,IF(N),2
311461,EF(N),1
6315,IN(F),1
1666,EN(T),1
7686,IF(N),1
49559,IF(S),1
450176,EF(N),1
13094,IN(F),2
19618,EF(N),1
31526,ES(F),1
114086,IF(S),1
55749,IF(N),1
71699,IF(N),1
134829,IF(S),1
196311,EN(T),2
332885,IF(N),2
39999,IS(F),2
59468,EN(T),2
63701,IF(N),1
34700,IN(T),2
54722,EN(T),1
54723,EN(F),1
59921,IT(N),1
147018,EN(F),1
166668,IN(F),1
72292,IT(N),1
181221,IN(F),1
254619,EN(F),1
40591,ET(N),1
110947,IF(N),2
135978,IN(T),3
344907,EN(F),1
59430,IF(S),1
71868,ET(S),1
104641,IS(T),1
138436,IN(F),1
182089,IN(T),1
209577,IT(N),1
40013,EN(T),1
40574,IS(F),1
56248,EF(S),1
56457,IS(T),1
112376,IF(N),1
136959,EN(F),1
194817,IN(F),1
242378,IN(F),1
257057,IN(T),2
316485,IF(N),2
375930,IS(F),4
48186,IN(T),1
62554,EN(F),1
126702,IN(F),1
269724,EF(N),1
270014,ES(F),2
6280,IN(F),1
118748,IF(N),1
166666,IS(T),1
205022,EN(T),2
447740,EF(S),1
47506,ET(S),1
48131,EN(T),1
49712,IT(N),1
53239,IF(N),1
119702,IT(N),1
178879,IN(F),1
279321,EF(N),2
341912,IT(N),1
376049,IF(N),1
483748,IT(N),1
573458,ET(N),1
11661,IF(N),1
146751,EN(F),1
264819,IF(N),1
323795,IN(T),2
329614,IT(N),1
378414,EN(T),1
384239,IN(F),1
40082,EN(T),1
54037,IF(S),1
75278,IF(N),1
95443,IN(T),1
145444,EN(F),2
202176,IN(F),1
262737,IT(N),1
304738,EN(T),1
323401,ES(T),1
327093,IN(F),1
